Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0249685047950147,5.80525389981545E-08,0.308263797377902,0,0,0,161.296548099246,5.74333133466386,-9.54396368857945E-07,0.715979259888364,11.1969077807859,2.58090746431264E-07,11.8625970706263,0,0,0,0,0,0,package://car_2trailers/meshes/base_link.STL,0.486274509803922,0.235294117647059,0.0156862745098039,1,0,0,0,0,0,0,package://car_2trailers/meshes/base_link.STL,,car1-1,base_link_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
steer_right,0,0,-0.0522691419902046,0,0,0,0.0438861509536143,0.000179638239128964,-3.09530314377121E-21,-3.82144225880298E-21,0.000124795414810826,-4.4765319312341E-20,5.58982217166399E-05,0,0,0,0,0,0,package://car_2trailers/meshes/steer_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_2trailers/meshes/steer_right.STL,,idependent axel and wheel-2/independed axel-1,steer_right_cs,steer_right_axis,steer_right_joint,continuous,0.2834,-0.2159,0.2159,0,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel_front_right,-1.11022302462516E-16,-2.22044604925031E-16,2.22044604925031E-16,0,0,0,0.710749711059187,0.00311542211207417,-4.40252816370023E-19,4.89078291990205E-19,0.00565621280352888,-1.08879834757985E-19,0.00311542211207417,0,0,0,0,0,0,package://car_2trailers/meshes/wheel_front_right.STL,0.866666666666667,1,0.886274509803922,1,0,0,0,0,0,0,package://car_2trailers/meshes/wheel_front_right.STL,,idependent axel and wheel-2/wheel with hold-1,wheel_front_right_cs,wheel_front_right_axis,wheel_front_right_joint,continuous,0,0,-0.1143,0,0,0,steer_right,0,1,0,,,,,,,,,,,,
steer_left,5.55111512312578E-17,0,-0.0522691419902048,0,0,0,0.0438861509536144,0.000179638239128965,6.67787778044852E-21,1.53045847137605E-20,0.000124795414810826,1.34882992606323E-19,5.58982217166401E-05,0,0,0,0,0,0,package://car_2trailers/meshes/steer_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_2trailers/meshes/steer_left.STL,,idependent axel and wheel-1/independed axel-1,steer_left_cs,steer_left_axis,steer_left_joint,continuous,0.2834,0.2159,0.2159,0,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel_front_left,2.22044604925031E-16,-2.22044604925031E-16,3.33066907387547E-16,0,0,0,0.710749711059188,0.00311542211207417,-1.78653899417237E-15,1.5015938906646E-18,0.00565621280352888,1.47159856276961E-19,0.00311542211207417,0,0,0,0,0,0,package://car_2trailers/meshes/wheel_front_left.STL,0.866666666666667,1,0.886274509803922,1,0,0,0,0,0,0,package://car_2trailers/meshes/wheel_front_left.STL,,idependent axel and wheel-1/wheel with hold-1,wheel_front_left_cs,wheel_front_left_axis,wheel_front_left_joint,continuous,0,0,-0.1143,0,0,0,steer_left,0,1,0,,,,,,,,,,,,
wheel_rear_right,0,0,-2.22044604925031E-16,0,0,0,0.710749711059187,0.00311542211207416,5.681866557744E-20,-7.15097397214017E-19,0.00565621280352888,1.34632008984562E-19,0.00311542211207417,0,0,0,0,0,0,package://car_2trailers/meshes/wheel_rear_right.STL,0.866666666666667,1,0.886274509803922,1,0,0,0,0,0,0,package://car_2trailers/meshes/wheel_rear_right.STL,,wheel with hold-2,wheel_rear_right_cs,wheel_rear_right_axis,wheel_rear_right_joint,continuous,-0.23095,-0.21641,0.1016,0,0,0,base_link,0,1,0,,,,,,,,,,,,
wheel_rear_left,-1.11022302462516E-16,2.22044604925031E-16,-2.22044604925031E-16,0,0,0,0.710749711059188,0.00311542211207416,7.07076336508181E-20,3.24668390427075E-19,0.00565621280352888,4.18630405641039E-19,0.00311542211207417,0,0,0,0,0,0,package://car_2trailers/meshes/wheel_rear_left.STL,0.866666666666667,1,0.886274509803922,1,0,0,0,0,0,0,package://car_2trailers/meshes/wheel_rear_left.STL,,wheel with hold-1,wheel_rear_left_cs,wheel_rear_left_axis,wheel_rear_left_joint,continuous,-0.23095,0.21641,0.1016,0,0,0,base_link,0,1,0,,,,,,,,,,,,
lidar,0,0,0.0155633315213304,0,0,0,0.00148787861234503,7.10305155736843E-08,5.87747175411144E-39,-1.65931870492747E-24,7.10305155736843E-08,3.73107524658215E-25,1.94149419263025E-08,0,0,0,0,0,0,package://car_2trailers/meshes/lidar.STL,1,0.831372549019608,0.0235294117647059,1,0,0,0,0,0,0,package://car_2trailers/meshes/lidar.STL,,antenna-1,lidar_cs,Axis_lidar_joint,lidar_joint,prismatic,-0.29518,0,0.5461,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
trailer1,-0.299194633208472,-0.0013676434638723,0.116239025047718,0,0,0,51.8326464514157,0.895288907489371,0.000190753586197387,-0.00176941019689681,1.45980983595813,-0.00311107541004565,1.6642326822303,0,0,0,0,0,0,package://car_2trailers/meshes/trailer1.STL,0,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://car_2trailers/meshes/trailer1.STL,,trainler-1,trailer1_cs,trailer1_axis,trailer1_joint,continuous,-0.4532,0,0.11113,0,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel_trailer1_left,2.22044604925031E-16,0,-3.33066907387547E-16,0,0,0,0.710749711059187,0.00311542211207416,-9.29687483492787E-19,1.25121407406303E-18,0.00565621280352888,-1.28392553042862E-19,0.00311542211207417,0,0,0,0,0,0,package://car_2trailers/meshes/wheel_trailer1_left.STL,0.866666666666667,1,0.886274509803922,1,0,0,0,0,0,0,package://car_2trailers/meshes/wheel_trailer1_left.STL,,wheel with hold-3,wheel_trailer1_left_cs,wheel_trailer1_left_axis,wheel_trailer1_left_joint,continuous,-0.39687,0.23495,-0.009525,0,0,0,trailer1,0,1,0,,,,,,,,,,,,
wheel_trailer1_right,0,0,-1.11022302462516E-16,0,0,0,0.710749711059187,0.00311542211207416,9.53813651772148E-19,1.15308977389893E-18,0.00565621280352887,9.55241922176197E-20,0.00311542211207416,0,0,0,0,0,0,package://car_2trailers/meshes/wheel_trailer1_right.STL,0.866666666666667,1,0.886274509803922,1,0,0,0,0,0,0,package://car_2trailers/meshes/wheel_trailer1_right.STL,,wheel with hold-4,wheel_trailer1_right_cs,wheel_trailer1_right_axis,wheel_trailer1_right_joint,continuous,-0.39687,-0.23495,-0.009525,0,0,0,trailer1,0,1,0,,,,,,,,,,,,
trailer2,-0.299194633208472,-0.0013676434638723,0.116239025047717,0,0,0,51.8326464514157,0.895288907489373,0.000190753586197405,-0.00176941019689734,1.45980983595813,-0.0031110754100455,1.6642326822303,0,0,0,0,0,0,package://car_2trailers/meshes/trailer2.STL,0,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://car_2trailers/meshes/trailer2.STL,,trainler-2,trailer2_cs,trailer2_axis,trailer2_joint,continuous,-0.5969,0,0,0,0,0,trailer1,0,0,1,,,,,,,,,,,,
wheel_trailer2_left,0,0,-1.11022302462516E-16,0,0,0,0.710749711059187,0.00311542211207416,-1.00530769970328E-18,3.06677373662752E-19,0.00565621280352888,-2.81053420512363E-19,0.00311542211207417,0,0,0,0,0,0,package://car_2trailers/meshes/wheel_trailer2_left.STL,0.866666666666667,1,0.886274509803922,1,0,0,0,0,0,0,package://car_2trailers/meshes/wheel_trailer2_left.STL,,wheel with hold-6,wheel_trailer2_left_cs,wheel_trailer2_left_axis,wheel_trailer2_left_joint,continuous,-0.39687,0.23495,-0.009525,0,0,0,trailer2,0,1,0,,,,,,,,,,,,
wheel_trailer2_right,0,0,-3.33066907387547E-16,0,0,0,0.710749711059187,0.00311542211207416,1.23233688868645E-18,-2.35125830624258E-18,0.00565621280352887,1.04752245533076E-19,0.00311542211207417,0,0,0,0,0,0,package://car_2trailers/meshes/wheel_trailer2_right.STL,0.866666666666667,1,0.886274509803922,1,0,0,0,0,0,0,package://car_2trailers/meshes/wheel_trailer2_right.STL,,wheel with hold-5,wheel_trailer2_right_cs,wheel_trailer2_right_axis,wheel_trailer2_right_joint,continuous,-0.39687,-0.23495,-0.009525,0,0,0,trailer2,0,1,0,,,,,,,,,,,,
